duty_cycle,air_vel(m/s)
39.22,0.13
39.22,0.13
39.22,0.14
39.22,0.16
39.22,0.2
39.22,0.28
39.22,0.39
39.22,0.59
39.22,0.89
39.22,1.22
39.22,1.38
39.22,1.6
39.22,1.71
39.22,1.84
39.22,1.9
39.22,1.95
39.22,2.01
39.22,2.03
39.22,2.06
39.22,2.07
39.22,2.11
39.22,2.14
39.22,2.14
39.22,2.15
39.22,2.15
39.22,2.17
39.22,2.14
39.22,2.17
39.22,2.15
39.22,2.15
39.22,2.16
39.22,2.14
39.22,2.15
39.22,2.14
39.22,2.17
39.22,2.17
39.22,2.17
39.22,2.17
39.22,2.18
39.22,2.17
39.22,2.18
39.22,2.16
39.22,2.19
39.22,2.17
39.22,2.18
39.22,2.19
39.22,2.18
39.22,2.17
39.22,2.17
39.22,2.18
39.22,2.17
39.22,2.18
39.22,2.19
39.22,2.21
39.22,2.17
39.22,2.16
39.22,2.17
39.22,2.16
39.22,2.18
39.22,2.18
39.22,2.18
39.22,2.19
39.22,2.19
39.22,2.19
39.22,2.18
39.22,2.18
39.22,2.18
39.22,2.17
39.22,2.17
39.22,2.2
39.22,2.17
39.22,2.18
39.22,2.2
39.22,2.18
39.22,2.18
39.22,2.14
39.22,2.17
39.22,2.17
39.22,2.18
39.22,2.18
39.22,2.19
39.22,2.18
39.22,2.19
39.22,2.19
39.22,2.19
39.22,2.19
39.22,2.2
39.22,2.17
39.22,2.19
39.22,2.2
39.22,2.2
39.22,2.18
39.22,2.18
39.22,2.19
39.22,2.18
39.22,2.17
39.22,2.18
39.22,2.17
39.22,2.18
39.22,2.18
39.22,2.18
39.61,2.18
39.61,2.16
39.61,2.12
39.61,2.18
39.61,2.21
39.61,2.17
39.61,2.19
39.61,2.21
39.61,2.21
39.61,2.18
39.61,2.21
39.61,2.2
39.61,2.2
39.61,2.2
39.61,2.21
39.61,2.21
39.61,2.21
39.61,2.22
39.61,2.21
39.61,2.2
39.61,2.19
39.61,2.2
39.61,2.2
39.61,2.22
39.61,2.2
39.61,2.2
39.61,2.19
39.61,2.19
39.61,2.22
39.61,2.19
39.61,2.22
39.61,2.2
39.61,2.2
39.61,2.19
39.61,2.2
39.61,2.21
39.61,2.21
39.61,2.2
39.61,2.22
39.61,2.22
39.61,2.2
39.61,2.21
39.61,2.21
39.61,2.2
39.61,2.21
39.61,2.22
39.61,2.2
39.61,2.2
39.61,2.2
39.61,2.19
39.61,2.21
39.61,2.21
39.61,2.2
39.61,2.21
39.61,2.19
39.61,2.21
39.61,2.19
39.61,2.19
39.61,2.21
39.61,2.2
39.61,2.19
39.61,2.22
39.61,2.18
39.61,2.2
39.61,2.19
39.61,2.17
39.61,2.18
39.61,2.2
39.61,2.22
39.61,2.19
39.61,2.18
39.61,2.19
39.61,2.2
39.61,2.2
39.61,2.18
39.61,2.21
39.61,2.2
39.61,2.19
39.61,2.14
39.61,2.19
39.61,2.2
39.61,2.19
39.61,2.2
39.61,2.19
39.61,2.21
39.61,2.2
39.61,2.2
39.61,2.2
39.61,2.2
39.61,2.21
39.61,2.2
39.61,2.18
39.61,2.2
39.61,2.2
39.61,2.19
39.61,2.2
39.61,2.2
39.61,2.2
39.61,2.19
39.61,2.22
39.61,2.18
40.0,2.2
40.0,2.21
40.0,2.22
40.0,2.2
40.0,2.22
40.0,2.24
40.0,2.22
40.0,2.22
40.0,2.21
40.0,2.23
40.0,2.21
40.0,2.22
40.0,2.24
40.0,2.22
40.0,2.23
40.0,2.23
40.0,2.22
40.0,2.23
40.0,2.2
40.0,2.21
40.0,2.21
40.0,2.23
40.0,2.22
40.0,2.22
40.0,2.22
40.0,2.22
40.0,2.2
40.0,2.2
40.0,2.23
40.0,2.22
40.0,2.21
40.0,2.21
40.0,2.22
40.0,2.22
40.0,2.21
40.0,2.22
40.0,2.23
40.0,2.22
40.0,2.22
40.0,2.24
40.0,2.22
40.0,2.2
40.0,2.22
40.0,2.2
40.0,2.22
40.0,2.2
40.0,2.2
40.0,2.22
40.0,2.22
40.0,2.2
40.0,2.21
40.0,2.22
40.0,2.22
40.0,2.22
40.0,2.23
40.0,2.22
40.0,2.21
40.0,2.19
40.0,2.2
40.0,2.2
40.0,2.22
40.0,2.21
40.0,2.21
40.0,2.18
40.0,2.21
40.0,2.2
40.0,2.21
40.0,2.19
40.0,2.23
40.0,2.21
40.0,2.21
40.0,2.22
40.0,2.21
40.0,2.2
40.0,2.21
40.0,2.21
40.0,2.2
40.0,2.22
40.0,2.19
40.0,2.22
40.0,2.2
40.0,2.22
40.0,2.2
40.0,2.2
40.0,2.21
40.0,2.21
40.0,2.23
40.0,2.22
40.0,2.22
40.0,2.24
40.0,2.22
40.0,2.21
40.0,2.22
40.0,2.2
40.0,2.22
40.0,2.22
40.0,2.2
40.0,2.22
40.0,2.22
40.0,2.22
40.0,2.2
40.39,2.2
40.39,2.22
40.39,2.23
40.39,2.22
40.39,2.23
40.39,2.22
40.39,2.21
40.39,2.21
40.39,2.22
40.39,2.22
40.39,2.22
40.39,2.19
40.39,2.23
40.39,2.24
40.39,2.23
40.39,2.2
40.39,2.22
40.39,2.22
40.39,2.21
40.39,2.24
40.39,2.22
40.39,2.24
40.39,2.23
40.39,2.24
40.39,2.24
40.39,2.22
40.39,2.24
40.39,2.23
40.39,2.23
40.39,2.23
40.39,2.22
40.39,2.23
40.39,2.22
40.39,2.24
40.39,2.22
40.39,2.23
40.39,2.22
40.39,2.23
40.39,2.24
40.39,2.24
40.39,2.25
40.39,2.27
40.39,2.28
40.39,2.26
40.39,2.28
40.39,2.28
40.39,2.28
40.39,2.28
40.39,2.28
40.39,2.26
40.39,2.27
40.39,2.25
40.39,2.23
40.39,2.23
40.39,2.24
40.39,2.23
40.39,2.22
40.39,2.22
40.39,2.2
40.39,2.22
40.39,2.22
40.39,2.21
40.39,2.24
40.39,2.2
40.39,2.2
40.39,2.11
40.39,2.23
40.39,2.22
40.39,2.21
40.39,2.22
40.39,2.21
40.39,2.21
40.39,2.23
40.39,2.24
40.39,2.21
40.39,2.23
40.39,2.25
40.39,2.26
40.39,2.2
40.39,2.23
40.39,2.24
40.39,2.24
40.39,2.23
40.39,2.23
40.39,2.2
40.39,2.25
40.39,2.21
40.39,2.24
40.39,2.23
40.39,2.23
40.39,2.23
40.39,2.2
40.39,2.22
40.39,2.23
40.39,2.22
40.39,2.22
40.39,2.24
40.39,2.21
40.39,2.19
40.39,2.2
40.39,2.2
40.78,2.24
40.78,2.21
40.78,2.21
40.78,2.22
40.78,2.22
40.78,2.21
40.78,2.22
40.78,2.22
40.78,2.23
40.78,2.23
40.78,2.24
40.78,2.22
40.78,2.23
40.78,2.24
40.78,2.22
40.78,2.24
40.78,2.23
40.78,2.22
40.78,2.2
40.78,2.24
40.78,2.24
40.78,2.23
40.78,2.25
40.78,2.23
40.78,2.22
40.78,2.24
40.78,2.26
40.78,2.25
40.78,2.21
40.78,2.24
40.78,2.25
40.78,2.24
40.78,2.24
40.78,2.25
40.78,2.24
40.78,2.25
40.78,2.21
40.78,2.24
40.78,2.25
40.78,2.25
40.78,2.25
40.78,2.22
