duty_cycle,air_vel(m/s)
70.59,0.07
70.59,0.07
70.59,0.08
70.59,0.08
70.59,0.08
70.59,0.09
70.59,0.1
70.59,0.08
70.59,0.08
70.59,0.11
70.59,0.08
70.59,0.09
70.59,0.09
70.59,0.09
70.59,0.09
70.59,0.09
70.59,0.1
70.59,0.09
70.59,0.09
70.59,0.08
70.59,0.1
70.59,0.09
70.59,0.1
70.59,0.08
70.59,0.1
70.59,0.1
70.59,0.09
70.59,0.1
70.59,0.08
70.59,0.09
70.59,0.11
70.59,0.1
70.59,0.1
70.59,0.07
70.59,0.1
70.59,0.09
70.59,0.1
70.59,0.12
70.59,0.1
70.59,0.09
70.59,0.1
70.59,0.11
70.59,0.11
70.59,0.11
70.59,0.11
70.59,0.1
70.59,0.1
70.59,0.11
70.59,0.1
70.59,0.11
70.59,0.1
70.59,0.11
70.59,0.11
70.59,0.09
70.59,0.1
70.59,0.1
70.59,0.11
70.59,0.1
70.59,0.1
70.59,0.11
70.59,0.11
70.59,0.1
70.59,0.11
70.59,0.11
70.59,0.11
70.59,0.1
70.59,0.11
70.59,0.1
70.59,0.11
70.59,0.1
70.59,0.1
70.59,0.1
70.59,0.1
70.59,0.1
70.59,0.1
70.59,0.12
70.59,0.11
70.59,0.1
70.59,0.11
70.59,0.11
70.59,0.11
70.59,0.11
70.59,0.11
70.59,0.11
70.59,0.1
70.59,0.11
70.59,0.09
70.59,0.1
70.59,0.1
70.59,0.1
70.59,0.11
70.59,0.1
70.59,0.1
70.59,0.11
70.59,0.1
70.59,0.1
70.59,0.11
70.59,0.1
70.59,0.1
70.59,0.12
70.59,0.11
70.98,0.1
70.98,0.1
70.98,0.1
70.98,0.11
70.98,0.11
70.98,0.1
70.98,0.1
70.98,0.11
70.98,0.12
70.98,0.1
70.98,0.11
70.98,0.11
70.98,0.1
70.98,0.11
70.98,0.1
70.98,0.11
70.98,0.1
70.98,0.11
70.98,0.11
70.98,0.1
70.98,0.1
70.98,0.1
70.98,0.1
70.98,0.1
70.98,0.11
