duty_cycle,air_vel(m/s)
39.22,1.73
39.22,1.66
39.22,1.76
39.22,1.85
39.22,1.92
39.22,1.94
39.22,2.01
39.22,2.06
39.22,2.09
39.22,2.11
39.22,2.12
39.22,2.15
39.22,2.16
39.22,2.16
39.22,2.17
39.22,2.17
39.22,2.18
39.22,2.19
39.22,2.19
39.22,2.18
39.22,2.19
39.22,2.19
39.22,2.19
39.22,2.19
39.22,2.2
39.22,2.19
39.22,2.18
39.22,2.21
39.22,2.21
39.22,2.22
39.22,2.2
39.22,2.2
39.22,2.21
39.22,2.21
39.22,2.2
39.22,2.2
39.22,2.19
39.22,2.19
39.22,2.19
39.22,2.2
39.22,2.2
39.22,2.2
39.22,2.21
39.22,2.22
39.22,2.19
39.22,2.23
39.22,2.21
39.22,2.22
39.22,2.2
39.22,2.21
39.22,2.22
39.22,2.19
39.22,2.2
39.22,2.2
39.22,2.2
39.22,2.21
39.22,2.2
39.22,2.2
39.22,2.2
39.22,2.2
39.22,2.17
39.22,2.16
39.22,2.21
39.22,2.19
39.22,2.21
39.22,2.21
39.22,2.21
39.22,2.22
39.22,2.18
39.22,2.19
39.22,2.12
39.22,2.19
39.22,2.19
39.22,2.12
39.22,2.2
39.22,2.22
39.22,2.22
39.22,2.21
39.22,2.17
39.22,2.21
39.22,2.22
39.22,2.23
39.22,2.23
39.22,2.21
39.22,2.23
39.22,2.22
39.22,2.21
39.22,2.22
39.22,2.22
39.22,2.21
39.22,2.23
39.22,2.21
39.22,2.22
39.22,2.2
39.22,2.21
39.22,2.23
39.22,2.23
39.22,2.21
39.22,2.22
39.22,2.23
39.22,2.25
39.61,2.25
39.61,2.26
39.61,2.24
39.61,2.23
39.61,2.22
39.61,2.21
39.61,2.2
39.61,2.18
39.61,2.2
39.61,2.19
39.61,2.19
39.61,2.18
39.61,2.2
39.61,2.19
39.61,2.2
39.61,2.21
39.61,2.21
39.61,2.22
39.61,2.22
39.61,2.19
39.61,2.19
39.61,2.21
39.61,2.19
39.61,2.24
39.61,2.23
39.61,2.26
39.61,2.22
39.61,2.24
39.61,2.24
39.61,2.23
39.61,2.24
39.61,2.21
39.61,2.2
39.61,2.23
39.61,2.22
39.61,2.22
39.61,2.19
39.61,2.19
39.61,2.22
39.61,2.2
39.61,2.22
39.61,2.19
39.61,2.2
39.61,2.2
39.61,2.2
39.61,2.15
39.61,2.19
39.61,2.2
39.61,2.22
39.61,2.21
39.61,2.22
39.61,2.22
39.61,2.23
39.61,2.19
39.61,2.23
39.61,2.22
39.61,2.1
39.61,2.21
39.61,2.18
39.61,2.2
39.61,2.22
39.61,2.22
39.61,2.18
39.61,2.21
39.61,2.19
39.61,2.21
39.61,2.2
39.61,2.19
39.61,2.2
39.61,2.2
39.61,2.22
39.61,2.2
39.61,2.18
39.61,2.22
39.61,2.21
39.61,2.21
39.61,2.23
39.61,2.21
39.61,2.21
39.61,2.21
39.61,2.22
39.61,2.22
39.61,2.21
39.61,2.19
39.61,2.19
39.61,2.22
39.61,2.22
39.61,2.2
39.61,2.18
39.61,2.22
39.61,2.22
39.61,2.24
39.61,2.22
39.61,2.21
39.61,2.22
39.61,2.23
39.61,2.22
39.61,2.2
39.61,2.19
39.61,2.21
39.61,2.21
40.0,2.21
40.0,2.21
40.0,2.22
40.0,2.23
40.0,2.22
40.0,2.21
40.0,2.22
40.0,2.22
40.0,2.22
40.0,2.2
40.0,2.21
40.0,2.23
40.0,2.21
40.0,2.23
40.0,2.24
40.0,2.24
40.0,2.24
40.0,2.25
40.0,2.22
40.0,2.23
40.0,2.24
40.0,2.26
40.0,2.23
40.0,2.24
40.0,2.22
40.0,2.24
40.0,2.22
40.0,2.25
40.0,2.22
40.0,2.24
